text,common,constraint,recommendation,direction
the increase in the number of people without access to water and sanitation in urban areas is directly related to the rapid growth of slum populations in the developing world and the inability or unwillingness of local and national governments to provide adequate water and sanitation facilities in these communities .,1,0,0,2
the increase in the number of people without access to water and sanitation in urban areas is directly related to the rapid growth of slum populations in the developing world and the inability or unwillingness of local and national governments to provide adequate water and sanitation facilities in these communities .,1,0,0,2
the increase in the number of people without access to water and sanitation in urban areas is directly related to the rapid growth of slum populations in the developing world and the inability or unwillingness of local and national governments to provide adequate water and sanitation facilities in these communities .,1,0,0,2
ecosystem services remain undervalued by 2050 agriculture will need to produce 60 more food globally and 100 more in developing countries .,0,0,1,1
a major priority for the Latin America and the Caribbean region is to build the formal institutional capacity to manage water resources and bring sustainable integration of water resources management and use into socioeconomic development and poverty reduction .,1,0,0,2
Global water demand for the manufacturing industry is expected to increase by 400 from 2000 to 2050 leading all other sectors with the bulk of this increase occurring in emerging economies and developing countries .,0,1,0,1
Global water demand for the manufacturing industry is expected to increase by 400 from 2000 to 2050 leading all other sectors with the bulk of this increase occurring in emerging economies and developing countries .,0,1,0,2
Global water demand for the manufacturing industry is expected to increase by 400 from 2000 to 2050 leading all other sectors with the bulk of this increase occurring in emerging economies and developing countries .,0,1,0,2
there are a growing number of examples of reclaimed wastewater being used in agriculture for irrigating municipal parks and fields in industrial cooling systems and in some cases safely mixed in with drinking water .,1,0,0,2
norms and attitudes have changed as a result of educational interventions institutional changes improved scientific and technical knowledge sharing of lessons learned and best practices and proactive policy and legislative developments .,1,0,0,2
access to water sanitation and hygiene WasH has been made universal through the massive deployment of urban water infrastructure as well as through decentralized smallscale water purification technology in remote areas leading to widely improved health conditions and allowing a life of human dignity for all persons .,1,0,0,2
Based on the definition of water security by the UN-Water Task Force on Water Security Water security is defined as the capacity of a population to safeguard sustainable access to adequate quantities of acceptable quality water for sustaining livelihoods human wellbeing and socioeconomic development for ensuring protection against waterborne pollution and waterrelated disasters and for preserving ecosystems in a climate of peace and political stability .,0,0,1,2
during this same period population growth urbanization migration and industrialization along with increases in production and consumption have generated everincreasing demands for freshwater resources .,0,1,0,2
during this same period population growth urbanization migration and industrialization along with increases in production and consumption have generated everincreasing demands for freshwater resources .,0,1,0,2
over the past century the development of water resources has been largely driven by the demands of expanding populations for food fibre and energy .,0,1,0,2
developing countries account for 93 of urbanization globally 40 of which is the expansion of slums .,1,0,0,1
developing countries account for 93 of urbanization globally 40 of which is the expansion of slums .,1,0,0,1
developing countries account for 93 of urbanization globally 40 of which is the expansion of slums .,1,0,0,1
Population growth urbanization migration and industrialization along with increases in production and consumption have generated everincreasing demands for freshwater resources oil has induced additional competition for land and water even within the agricultural sector especially in regions already under water stress HlPe 2013 and has also been associated with increased food prices .,0,1,0,2
Population growth urbanization migration and industrialization along with increases in production and consumption have generated everincreasing demands for freshwater resources oil has induced additional competition for land and water even within the agricultural sector especially in regions already under water stress HlPe 2013 and has also been associated with increased food prices .,0,1,0,2
Most problems related to water quality are caused by intensive agriculture industrial production mining and untreated urban runoff and wastewater .,0,1,0,1
thereafter it may stabilize in developed countries but is likely to continue to worsen in developing countries .,1,0,0,1
by failing to integrate gender considerations in water resources management and also in sectors such as agriculture urban water supply energy and industry gender inequities will persist preventing the adoption of innovative solutions that may be put forth by women WWaP 2012 .,0,1,0,2
by failing to integrate gender considerations in water resources management and also in sectors such as agriculture urban water supply energy and industry gender inequities will persist preventing the adoption of innovative solutions that may be put forth by women WWaP 2012 .,0,1,0,2
in most countries funding for water infrastructure comes from government allocations although many developing countries still depend on external assistance to fund water resources management and utilities .,1,0,0,1
financing is reported to be particularly inadequate for sanitation with drinking water absorbing the majority of funding available particularly in developing countries WHo 2012a .,0,1,0,1
despite persistent management obstacles relating to financing in the water sector over 50 of countries low in the Human development index Hdi have reported that financing for water resources development and management from government budgets and official development assistance have been increasing over the last 20 years un-Water 2012 .,0,1,0,2
one quarter of the global population also live in developing countries that face water shortages due to weak governance and human capacities and a lack of infrastructure to transport water from rivers and aquifers Comprehensive assessment of Water Management in agriculture 2007 .,0,1,0,2
one quarter of the global population also live in developing countries that face water shortages due to weak governance and human capacities and a lack of infrastructure to transport water from rivers and aquifers Comprehensive assessment of Water Management in agriculture 2007 .,0,1,0,2
Poverty can also render existing investments in water less efficient since households and communities often find it difficult to finance operate and maintain infrastructure such as rural water pumps .,1,0,0,2
the Human Development Report HDR 2013 suggests that by 2020 the combined economic output of these countries alone will surpass the aggregate production of Canada france Germany italy the united Kingdom and the united states undP 2013 .,0,0,1,2
in many developing countries there is a wide and often widening gap between rich and poor and between those who can and can not exploit new opportunities arising from economic growth .,1,0,0,1
Two global trends are converging climate change and growing economic development in least developed countries LDCs and emerging economies .,1,0,0,1
This convergence is certain to intensify the water insecurity of poor and marginalized people in low income countries and add to the urgency for new approaches to the allocation of water resources for development .,1,0,0,2
The OECD Environmental Outlook to 2050 OECD 2012a estimates that by 2050 water demands from manufacturing industries and thermal power generation will increase dramatically especially in developing countries and the BRICS the five major emerging national economies of Brazil Russia India China and South Africa .,0,1,0,1
The OECD Environmental Outlook to 2050 OECD 2012a estimates that by 2050 water demands from manufacturing industries and thermal power generation will increase dramatically especially in developing countries and the BRICS the five major emerging national economies of Brazil Russia India China and South Africa .,0,1,0,1
The OECD Environmental Outlook to 2050 OECD 2012a estimates that by 2050 water demands from manufacturing industries and thermal power generation will increase dramatically especially in developing countries and the BRICS the five major emerging national economies of Brazil Russia India China and South Africa .,0,1,0,1
The water demand increase in BRICS will be sevenfold while in developing countries it will come close to increasing by 400 .,0,1,0,1
such investments need to be done with proper impact assessments and in collaboration with other countries whenever relevant .,0,0,1,1
these investments are not a panacea however and need to be accompanied by smallerscale investments in relation to irrigation power generation crop diversification institutional development better access to markets by farmers and rural artisans and capacity development .,0,0,1,2
these investments are not a panacea however and need to be accompanied by smallerscale investments in relation to irrigation power generation crop diversification institutional development better access to markets by farmers and rural artisans and capacity development .,0,0,1,1
in addition infrastructure to reduce risk of water scarcity and to manage waterrelated disasters such as floods and droughts can make a countrys development efforts more sustainable by reducing the vulnerability and or increasing the resilience of economies to extreme events box 3.2 .,1,0,0,2
in rural areas irrigation can be a precondition for modernized agriculture paving the way for industry by facilitating the accumulation of capital that allows surplus investments box 3.3 .,1,0,0,1
in rural areas irrigation can be a precondition for modernized agriculture paving the way for industry by facilitating the accumulation of capital that allows surplus investments box 3.3 .,1,0,0,2
Groundwater development has brought major socioeconomic benefits to rural communities and in many countries has helped to alleviate agrarian poverty through increasing food security .,1,0,0,1
Groundwater development has brought major socioeconomic benefits to rural communities and in many countries has helped to alleviate agrarian poverty through increasing food security .,1,0,0,1
Consecutive years of flooding have also pushed up the countrys inflation and unemployment rate because the flooding has disrupted supply chains damaged major crops like sugarcane rice and cotton and hampered industrial production Government of Pakistan 2012 .,1,0,0,1
some countries may give priority to investments in infrastructure for hydropower and irrigation for economic growth .,1,0,0,2
in other cases technologies and financial resources to invest in water infrastructure might be available while the institutional capability is lacking leading to poor or nonexistent service provision .,0,1,0,2
in other cases technologies and financial resources to invest in water infrastructure might be available while the institutional capability is lacking leading to poor or nonexistent service provision .,0,1,0,2
In spite of outstanding advances in water provision in the last decades over 80 of wastewater worldwide and 90 or more in developing countries is not collected or treated and urban settlements are the main source of pollution WWAP 2012 .,1,0,0,1
In spite of outstanding advances in water provision in the last decades over 80 of wastewater worldwide and 90 or more in developing countries is not collected or treated and urban settlements are the main source of pollution WWAP 2012 .,1,0,0,1
In spite of outstanding advances in water provision in the last decades over 80 of wastewater worldwide and 90 or more in developing countries is not collected or treated and urban settlements are the main source of pollution WWAP 2012 .,1,0,0,1
Land use change from urban and rural development can exacerbate soil erosion reduce soil waterholding capacity and decrease the recharge of groundwater and existing surfacewater storage capacity .,1,0,0,2
A US 15 to US 30 billion investment in improved water resources management in developing countries can have direct annual income returns in the range of US 60 billion .,0,0,1,1
A US 15 to US 30 billion investment in improved water resources management in developing countries can have direct annual income returns in the range of US 60 billion .,0,0,1,2
an emphasis on infrastructure to unlock the economic growth potential of water in the early stages of a countrys economic development .,1,0,0,2
once the marginal benefits of further development decrease emphasis must gradually shift towards building human and institutional capabilities to enhance water efficiency and sustainability and secure economic and social development gains .,1,0,0,2
Projects in hydropower irrigation energy or urban development that are carried out simultaneously and in isolation from each other can lead to water scarcity unsustainable use of resources and conflicts between users and local communities .,1,0,0,2
Projects in hydropower irrigation energy or urban development that are carried out simultaneously and in isolation from each other can lead to water scarcity unsustainable use of resources and conflicts between users and local communities .,1,0,0,2
Policies should seek to increase participation of all stakeholders local regional and national including rural women in developing countries who already act as grassroots ecosystem managers .,1,0,0,1
Water plays a vital role in various aspects and challenges related to sustainable development including human health food and energy security urbanization industrial growth and climate change .,0,1,0,1
Water plays a vital role in various aspects and challenges related to sustainable development including human health food and energy security urbanization industrial growth and climate change .,0,1,0,2
implications of inadequate WasH for education cognitive development and nutrition are not fully documented and inadequate WasH is one of many deprivations suffered by the worlds poorest and most marginalized populations .,0,1,0,2
lack of WasH takes a huge toll on health and wellbeing and comes at a large financial cost including a sizeable loss of economic activity in many countries not just least developed countries .,0,1,0,2
In many lowerincome countries bottled water is a privilege of the wealthy who may resort to it due to lack of trust in the safety of municipal supplies exacerbating inequalities as societies develop their water usage patterns change .,0,1,0,2
In many lowerincome countries bottled water is a privilege of the wealthy who may resort to it due to lack of trust in the safety of municipal supplies exacerbating inequalities as societies develop their water usage patterns change .,0,1,0,2
in countries where robust regulations and wastewater treatment exist reducing energy use is a key challenge requiring innovative approaches .,0,1,0,2
6.1 Water in a rapidly urbanizing world Cities have become the place where development challenges and opportunities increasingly come face to face .,0,1,0,1
furthermore most of this growth is happening in developing countries which have limited capacity to deal with this rapid change .,0,1,0,1
as easily available surface water and groundwater sources have been depleted in many urbanized areas cities will have to go further or dig deeper to access water or will have to depend on innovative solutions or more advanced technologies such as reverse osmosis for desalination or reclaimed water to meet their water demands see WWaP 2015 Chapter 1 Case study towards sustainable groundwater management in asian cities .,0,1,0,2
as easily available surface water and groundwater sources have been depleted in many urbanized areas cities will have to go further or dig deeper to access water or will have to depend on innovative solutions or more advanced technologies such as reverse osmosis for desalination or reclaimed water to meet their water demands see WWaP 2015 Chapter 1 Case study towards sustainable groundwater management in asian cities .,0,1,0,2
1 Access to water supply and sanitation rapid urbanization increased industrialization and improving living standards generally combine to increase the overall demand for water in cities .,0,1,0,1
as shown in figure 6.1 by 2050 global water demand is projected to increase by 55 mainly due to growing demand from manufacturing thermal electricity generation and domestic use all of which mainly results from growing urbanization in developing countries although the MdG target on access to safe drinking water as measured by the proportion of population using an improved drinking water source see box 1.1 was met in 2010 the progress in urban areas has not been able to keep up with the rapid pace of urbanization figure 6.2 .,0,1,0,1
as shown in figure 6.1 by 2050 global water demand is projected to increase by 55 mainly due to growing demand from manufacturing thermal electricity generation and domestic use all of which mainly results from growing urbanization in developing countries although the MdG target on access to safe drinking water as measured by the proportion of population using an improved drinking water source see box 1.1 was met in 2010 the progress in urban areas has not been able to keep up with the rapid pace of urbanization figure 6.2 .,0,1,0,1
as shown in figure 6.1 by 2050 global water demand is projected to increase by 55 mainly due to growing demand from manufacturing thermal electricity generation and domestic use all of which mainly results from growing urbanization in developing countries although the MdG target on access to safe drinking water as measured by the proportion of population using an improved drinking water source see box 1.1 was met in 2010 the progress in urban areas has not been able to keep up with the rapid pace of urbanization figure 6.2 .,0,1,0,1
as shown in figure 6.1 by 2050 global water demand is projected to increase by 55 mainly due to growing demand from manufacturing thermal electricity generation and domestic use all of which mainly results from growing urbanization in developing countries although the MdG target on access to safe drinking water as measured by the proportion of population using an improved drinking water source see box 1.1 was met in 2010 the progress in urban areas has not been able to keep up with the rapid pace of urbanization figure 6.2 .,0,1,0,1
as shown in figure 6.1 by 2050 global water demand is projected to increase by 55 mainly due to growing demand from manufacturing thermal electricity generation and domestic use all of which mainly results from growing urbanization in developing countries although the MdG target on access to safe drinking water as measured by the proportion of population using an improved drinking water source see box 1.1 was met in 2010 the progress in urban areas has not been able to keep up with the rapid pace of urbanization figure 6.2 .,0,1,0,2
as shown in figure 6.1 by 2050 global water demand is projected to increase by 55 mainly due to growing demand from manufacturing thermal electricity generation and domestic use all of which mainly results from growing urbanization in developing countries although the MdG target on access to safe drinking water as measured by the proportion of population using an improved drinking water source see box 1.1 was met in 2010 the progress in urban areas has not been able to keep up with the rapid pace of urbanization figure 6.2 .,0,1,0,1
Least developed countries,1,0,0,1
growth of slum populations in the developing world and the inability or unwillingness of local and national governments to provide adequate water and sanitation facilities in these communities .,1,0,0,2
growth of slum populations in the developing world and the inability or unwillingness of local and national governments to provide adequate water and sanitation facilities in these communities .,1,0,0,2
growth of slum populations in the developing world and the inability or unwillingness of local and national governments to provide adequate water and sanitation facilities in these communities .,1,0,0,2
in some informal settlements however local communities and the private sector have come up with innovative solutions .,0,1,0,1
in some informal settlements however local communities and the private sector have come up with innovative solutions .,0,1,0,1
2 Pollution and wastewater management Many cities in developing countries do not have the necessary infrastructure to collect and treat wastewater .,1,0,0,1
it is estimated that up to 90 of all wastewater in developing countries is discharged untreated directly into rivers lakes or the oceans causing major environmental and health risks Corcoran et al .,1,0,0,1
While some developing countries such as Chile have been successful in treating almost all their wastewater bartone 2011 experience from most developing countries indicates that wastewater management can be expensive and most cities do not have or allocate the necessary resources for this .,1,0,0,1
3 Institutional capacity and water governance Given the rapid pace of urbanization the institutional capacity of local and national governments and water utilities to increase investments and manage the delivery of services is becoming critical especially in cities with old and poorly maintained water and sanitation infrastructure and cities in the developing world .,1,0,0,2
3 Institutional capacity and water governance Given the rapid pace of urbanization the institutional capacity of local and national governments and water utilities to increase investments and manage the delivery of services is becoming critical especially in cities with old and poorly maintained water and sanitation infrastructure and cities in the developing world .,1,0,0,2
3 Institutional capacity and water governance Given the rapid pace of urbanization the institutional capacity of local and national governments and water utilities to increase investments and manage the delivery of services is becoming critical especially in cities with old and poorly maintained water and sanitation infrastructure and cities in the developing world .,1,0,0,2
3 Institutional capacity and water governance Given the rapid pace of urbanization the institutional capacity of local and national governments and water utilities to increase investments and manage the delivery of services is becoming critical especially in cities with old and poorly maintained water and sanitation infrastructure and cities in the developing world .,1,0,0,2
Coping with the effects of climate change will therefore require cities to strengthen planning and management capacities related to water and integrate water management with overall urban development .,1,0,0,2
6.3 Responses the dedicated goal for water and its five targets proposed by un-Water 2014 as part of the post-2015 agenda for sustainable development see Chapter 16 are very relevant for the sustainable use of water in the urban context .,0,0,1,1
1 Propoor policies for safe water supply and sanitation rapid urbanization is outpacing public service provisions in the developing world and the overall number of people without access to safe water and sanitation in urban areas is increasing .,1,0,0,2
Many cities in developing countries do not have the necessary infrastructure to collect and treat wastewater safe water sanitation and hygiene should stimulate action to address this critical issue .,1,0,0,1
in doing so governments and service providers can learn from experiences of successful and innovative initiatives that focus on the needs of urban poor and create an enabling environment for service delivery box 6.1 .,0,0,1,1
2 Integrated urban water management the proposed target on sustainable use and development of water resources can benefit from experiences of,0,0,1,1
Since 2000 the local water supply company Empresa de Servicios Publicos de Heredia in the province of Heredia in Costa Rica has invested in protecting strategic forest areas in the Virilla River Watershed allowing for the recharge of surface and groundwater sources .,1,0,0,2
As a result the province is able to provide clean water to all its 200 000 residents while minimizing the need to invest in water treatment infrastructure .,0,0,1,1
As a result the province is able to provide clean water to all its 200 000 residents while minimizing the need to invest in water treatment infrastructure .,0,0,1,2
The fact that Phnom Penh has been able to reduce its unaccountedfor water from over 60 in 1998 to just 6 by 2008 which is comparable to Singapore demonstrates that state managed utilities in developing countries can be efficient if they have good leadership and governance .,1,0,0,1
iuWM calls for the alignment of urban development and basin management and brings together water supply sanitation and stormwater and wastewater management and integrates these with land use planning and economic development .,1,0,0,2
implementation of iuWM will require appropriate institutional structures policies careful planning capacitybuilding and investment in systems such as protection of upstream catchment areas rainwater harvesting and recharge water demand management and water reuse box 6.2 .,0,1,0,1
since transportation accounts for much of the cost of wastewater management decentralized systems that treat wastewater close to the source using simple technologies that maximize recycling of water and nutrients can be more effective particularly in poor and periurban settlements box 6.4 .,1,0,0,1
the sectors requiring the main bulk of this investment will be water supply and flood protection infrastructure and coastal zones with urban areas requiring an estimated 80 of the total funding required for adaptation World bank 2010b .,1,0,0,2
as most of this investment will be needed in developing countries where the infrastructure and systems are yet to be built there are possibilities for making future cities climate smart thus reducing climate risks and maximizing environmental and economic benefits .,0,0,1,2
as most of this investment will be needed in developing countries where the infrastructure and systems are yet to be built there are possibilities for making future cities climate smart thus reducing climate risks and maximizing environmental and economic benefits .,0,0,1,2
FAo Edited by Jippe Hoogeveen by 2050 agriculture will need to produce 60 more food globally and 100 more in developing countries alexandratos and bruinsma 2012 .,0,0,1,1
since 75 of the worlds poor live in rural areas broadbased rural development and the wide sharing of its benefits are the most effective means of reducing poverty and food insecurity World bank 2007a .,1,0,0,1
The committees then disseminated the information to the entire farming community and acted as pressure groups encouraging appropriate water saving and harvesting projects promoting low investment organic agriculture and helping formulate rules that would ensure interannual sustainability of limited groundwater resources .,0,1,1,2
Key elements of the water services industry are covered in Chapters 5 and 6 on WasH and urbanization .,1,0,0,2
Most of this increase will be in emerging economies and developing countries with implications on water supply allocation and quality .,1,0,0,1
To provide equal opportunities Minera Esperanza focused on attracting women to participate in the scheme and in 2010 had 12 women workers compared with a country average for the mining industry of 6 .,1,0,0,2
Moreover large companies and sMes are faced with different water sustainability issues depending on whether they operate in developed or developing countries .,1,0,0,1
in developed countries the emphasis is mainly on efficiency measures to conserve water resources that already exist .,1,0,0,1
for developing countries however the priority for industry is to gain and secure access to water supplies that are reliable which is often a challenge in water stressed areas .,0,1,0,1
for developing countries however the priority for industry is to gain and secure access to water supplies that are reliable which is often a challenge in water stressed areas .,0,1,0,2
Industrial parks have existed for some time in both developing and developed countries .,1,0,0,2
Industrial parks have existed for some time in both developing and developed countries .,1,0,0,1
For example the China- Singapore Suzhou Industrial Park in China combines over 60 Fortune 500 companies with a current residential population of 600 000 people .,1,0,0,2
In some cases the provision of specialized effluent treatment to preserve a countrys specialized industry has been the reason for creating a park .,1,0,0,2
License to operate through engagement with communities and government - in the vicinity of manufacturing operations - where key raw materials originate,1,0,0,1
Credit and trading schemes can be introduced in developing countries through industry initiatives and projects uneP 2011 .,1,0,0,1
Credit and trading schemes can be introduced in developing countries through industry initiatives and projects uneP 2011 .,1,0,0,1
in such countries it may be possible to apply water sustainability approaches to specific industry sectors in a similar way to those proposed for climate action .,0,0,1,1
there is an increasing trend particularly in developed countries to abolish subsidies that distort the price of water below its full cost .,1,0,0,1
Population growth and elevated living standards are creating a continuous increase in demand for water in many developing countries .,0,1,0,1
Population growth and elevated living standards are creating a continuous increase in demand for water in many developing countries .,0,1,0,2
in addition to the impacts of climate change there are often universal constraints to the development of adaptation actions due to data scarcity poor predictive capacity of socioeconomic and climate models inadequate decision support mechanisms and limited institutional capacity .,0,1,1,1
for instance inadequately described or enforced water rights may hinder improved access to water for poor and other vulnerable communities in many developing regions .,0,1,0,2
new technologies for visualization and communication of data and simulations infographics are emerging spiegelhalter et al .,1,0,0,1
lastly institutional development holds promise for improving climate change adaptation .,1,0,0,2
Many countries in the uneCe region have high levels of economic development and per capita resource use which exert increasing pressure on natural resources .,0,1,0,2
individually and together these challenges create significant obstacles to sustainable development although some progress has been made in terms of access to improved drinking water people using improved water supplies increased by 19 southern asia and 23 in eastern asia between 1990 and 2012 nearly 1.7 billion people in the region with more than half of these living in rural areas still did not have access to improved sanitation in 2012 WHo and uniCef 2014a .,0,1,0,1
by 2015 it is estimated that 2.7 billion people will be living in urban areas undesa 2014 placing considerable stress on the resource base of the regions cities including water and undermining the sustainable development efforts of these cities and their respective national governments .,0,1,0,2
australia ecoefficient water infrastructure development indonesia and the Philippines and urban wetlands Kolkata india .,1,0,0,2
there are a number of lessons to be learned from recent typhoons and the success stories of cyclone shelters and early warning systems in bangladesh india and the Philippines and from the development of strategic frameworks and revitalized institutional arrangements in river management Citarum river rehabilitation project in indonesia .,1,0,0,1
other important challenges include the need for more sustainable water use access to more reliable water services particularly in least developed countries and countries suffering directly and indirectly from conflict and improved water governance for national and transboundary surface water and groundwater resources .,0,1,1,1
over 66 of freshwater resources in arab countries originate outside national borders arab Water Council 2012 which leaves downstream arab countries vulnerable to upstream developments such as the construction of the renaissance dam on the blue nile in ethiopia and turkish dams along the tigris and euphrates rivers .,1,0,0,1
13.3 Progress and perspectives in the face of these challenges arab countries are focusing on water and sustainable development in legal and policy frameworks .,0,1,0,2
it has been unable to converge per capita GdP with developed countries and over 160 million people about 28 of its population still live in poverty .,1,0,0,1
it has been unable to converge per capita GdP with developed countries and over 160 million people about 28 of its population still live in poverty .,1,0,0,1
this situation is expected to be aggravated in the future through the joint negative effect of higher water demands due to population growth and economic development coupled with drier conditions and increased hydrological variability in many river basins as a result of climate change iPCC 2008 .,0,1,0,2
these deficiencies in governance manifest themselves in unsustainable and informal practices of water use water pollution particularly in and downstream from densely populated urban areas and especially in the proliferation of conflicts in relation to most large infrastructure and natural resources development projects Martin and Justo 2014 .,0,1,0,2
these deficiencies in governance manifest themselves in unsustainable and informal practices of water use water pollution particularly in and downstream from densely populated urban areas and especially in the proliferation of conflicts in relation to most large infrastructure and natural resources development projects Martin and Justo 2014 .,0,1,0,2
to advance in the realization of these goals governments will have to focus public policies on Hantkedomas and Jouravlev 2011 i assigning high political priority to these services both in terms of budgetary allocations and development of stable and efficient institutions ii a gradual transition to selffinancing with tariff design that encourages resource use efficiency accompanied by the creation of effective subsidy systems for low income groups iii a more consolidated or aggregated industrial structure to take advantage of economies of scale and ensure technical and financial viability of service providers iv effective economic regulation with emphasis on access to information uniform accounting benchmarking and consumer participation v adjusting regulatory practices and utilities governance to their property structure so as to make them more transparent and responsive to regulatory incentives and vi closer integration of economic regulation and water and land management policies so as to ensure environmental sustainability of service provision .,0,0,1,1
to advance in the realization of these goals governments will have to focus public policies on Hantkedomas and Jouravlev 2011 i assigning high political priority to these services both in terms of budgetary allocations and development of stable and efficient institutions ii a gradual transition to selffinancing with tariff design that encourages resource use efficiency accompanied by the creation of effective subsidy systems for low income groups iii a more consolidated or aggregated industrial structure to take advantage of economies of scale and ensure technical and financial viability of service providers iv effective economic regulation with emphasis on access to information uniform accounting benchmarking and consumer participation v adjusting regulatory practices and utilities governance to their property structure so as to make them more transparent and responsive to regulatory incentives and vi closer integration of economic regulation and water and land management policies so as to ensure environmental sustainability of service provision .,0,0,1,2
15.3 The way forward despite these challenges significant progress has been made by many african countries in the utilization of water resources for socioeconomic development .,0,1,0,2
A study commissioned by the African Ministers Council on Water AMCOW and executed by the International Water Management Institute IWMI assessed the extent and prevalence of largescale agricultural lease investments LSALI in many countries in Africa IWMI 2014 .,1,0,0,1
A study commissioned by the African Ministers Council on Water AMCOW and executed by the International Water Management Institute IWMI assessed the extent and prevalence of largescale agricultural lease investments LSALI in many countries in Africa IWMI 2014 .,1,0,0,2
AFRICA subsaharan African countries with total largescale investment in agricultural land greater than 100 000 hectares 2000-2012 .,1,0,0,2
Production activities on largescale investment schemes in selected subsaharan African countries 2000-2012,1,0,0,2
these approaches have been proposed as essential to meeting the growing food and energy needs of an urbanizing and industrializing africa .,0,0,1,2
achieving more efficient water use is crucial considering that production and consumption of agricultural products alone account for over 70 of water withdrawals in many developing countries undesa 2013b .,0,0,1,1
A Integrate the principles of sustainable development into country policies and programmes and reverse the loss of environmental resources - Indicator 7.4 Proportion of total water resources used,1,0,0,1
WWDR 2015 global agreement in which rich and developing countries recognized that they share the responsibility to end poverty and its root causes .,1,0,0,1
the limited scope of the MdGs has also not prompted developing countries particularly those vulnerable to emerging challenges such as climate change food crises and rapidly increasing urbanization to fully address governancerelated issues such as the development of robust government institutions social welfare systems and an enabling environment for civil society participation un 2012 .,0,1,0,1
the limited scope of the MdGs has also not prompted developing countries particularly those vulnerable to emerging challenges such as climate change food crises and rapidly increasing urbanization to fully address governancerelated issues such as the development of robust government institutions social welfare systems and an enabling environment for civil society participation un 2012 .,0,1,0,1
the limited scope of the MdGs has also not prompted developing countries particularly those vulnerable to emerging challenges such as climate change food crises and rapidly increasing urbanization to fully address governancerelated issues such as the development of robust government institutions social welfare systems and an enabling environment for civil society participation un 2012 .,0,1,0,1
2 The need for a dedicated post-2015 goal for water Whereas the MdGs concentrated efforts on developing countries the post-2015 sdGs will aim for a worldwide scope .,0,0,1,1
this is especially important in the context of water services since the drinking water and wastewater infrastructure of developed nations has deteriorated in the last decades asCe 2011 and vulnerable populations still lack access to WasH in rich countries Government of Canada 2014 .,0,1,0,1
this is especially important in the context of water services since the drinking water and wastewater infrastructure of developed nations has deteriorated in the last decades asCe 2011 and vulnerable populations still lack access to WasH in rich countries Government of Canada 2014 .,0,1,0,1
a by 2030 expand international cooperation and capacitybuilding support to developing countries in waterand sanitationrelated activities and programmes including water harvesting desalination water efficiency wastewater treatment recycling and reuse technologies 6 .,0,0,1,1
a by 2030 expand international cooperation and capacitybuilding support to developing countries in waterand sanitationrelated activities and programmes including water harvesting desalination water efficiency wastewater treatment recycling and reuse technologies 6 .,0,0,1,2
Water management and decisions affecting water will play a key role in tackling the development challenges of the twentyfirst century including urbanization sustainable industrial development and economic growth eradicating persistent poverty ensuring food security responding to new patterns of consumption and conserving threatened ecosystems .,0,1,0,1
Water management and decisions affecting water will play a key role in tackling the development challenges of the twentyfirst century including urbanization sustainable industrial development and economic growth eradicating persistent poverty ensuring food security responding to new patterns of consumption and conserving threatened ecosystems .,0,1,0,2
Water management and decisions affecting water will play a key role in tackling the development challenges of the twentyfirst century including urbanization sustainable industrial development and economic growth eradicating persistent poverty ensuring food security responding to new patterns of consumption and conserving threatened ecosystems .,0,1,0,2
demand for water is increasing from all sectors particularly for energy manufacturing industry and agriculture in developing countries and emerging economies oeCd 2012a .,0,1,0,1
demand for water is increasing from all sectors particularly for energy manufacturing industry and agriculture in developing countries and emerging economies oeCd 2012a .,0,1,0,1
demand for water is increasing from all sectors particularly for energy manufacturing industry and agriculture in developing countries and emerging economies oeCd 2012a .,0,1,0,1
it must take into account investments needed in infrastructure institutional development human capacities and technological application and innovation .,0,0,1,1
it must take into account investments needed in infrastructure institutional development human capacities and technological application and innovation .,0,0,1,1
it must take into account investments needed in infrastructure institutional development human capacities and technological application and innovation .,0,0,1,1
it must take into account investments needed in infrastructure institutional development human capacities and technological application and innovation .,0,0,1,1
to be able to attract much of the funding required for sustainable infrastructure development and functional institutions it will be increasingly important to institute anticorruption measures across water and related economic sectors .,1,0,0,1
there are a growing number of examples of reclaimed wastewater being used in agriculture for irrigating municipal parks and fields in industrial cooling systems and even in some cases mixed in with drinking water 2030 WrG 2013 .,1,0,0,2
focusing on access to WasH and providing infrastructure to the worlds slums and informal settlements provides an opportunity for intensive innovation in moving away from the conventional flushtoilet sewerage systems .,1,0,0,2
focusing on access to WasH and providing infrastructure to the worlds slums and informal settlements provides an opportunity for intensive innovation in moving away from the conventional flushtoilet sewerage systems .,1,0,0,2
1 innovative solutions such as functioning water kiosks have been shown to significantly improve access to drinking water supplies in informal settlements .,0,1,0,1
social objectives may be high on the political agenda of most developing countries yet they tend to be poorly followed up in regulatory practices .,0,1,1,1
the allocation of water between users and between different types of uses like agriculture industry or municipal demands is usually managed through systems of administrative permits .,0,1,0,1
